PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-01-31,351.140000,2020-01-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-02-28,345.120000,2020-02-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-03-31,318.240000,2020-03-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-04-30,353.640000,2020-04-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-05-29,386.600000,2020-05-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-06-30,435.310000,2020-06-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-07-31,444.320000,2020-07-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-08-31,513.390000,2020-08-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-09-30,490.430000,2020-09-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-10-30,447.100000,2020-10-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-11-30,478.470000,2020-11-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2020-12-31,500.120000,2020-12-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-01-29,458.770000,2021-01-29
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-02-26,459.670000,2021-02-26
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-03-31,475.370000,2021-03-31
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-04-30,508.340000,2021-04-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-05-28,504.580000,2021-05-28
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-06-30,585.640000,2021-06-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-07-30,621.630000,2021-07-30
75510,00724F10,ADOBE INC; COM NONE; CONS,ADBE,8476,ADOBE INC,2021-08-31,663.700000,2021-08-31
