PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc
10107,59491810,MSFT,8048,2020-01-31,170.230000
10107,59491810,MSFT,8048,2020-02-28,162.010000
10107,59491810,MSFT,8048,2020-03-31,157.710000
10107,59491810,MSFT,8048,2020-04-30,179.210000
10107,59491810,MSFT,8048,2020-05-29,183.250000
10107,59491810,MSFT,8048,2020-06-30,203.510000
10107,59491810,MSFT,8048,2020-07-31,205.010000
10107,59491810,MSFT,8048,2020-08-31,225.530000
10107,59491810,MSFT,8048,2020-09-30,210.330000
10107,59491810,MSFT,8048,2020-10-30,202.470000
10107,59491810,MSFT,8048,2020-11-30,214.070000
10107,59491810,MSFT,8048,2020-12-31,222.420000
10107,59491810,MSFT,8048,2021-01-29,231.960000
10107,59491810,MSFT,8048,2021-02-26,232.380000
10107,59491810,MSFT,8048,2021-03-31,235.770000
10107,59491810,MSFT,8048,2021-04-30,252.180000
10107,59491810,MSFT,8048,2021-05-28,249.680000
10107,59491810,MSFT,8048,2021-06-30,270.900000
10107,59491810,MSFT,8048,2021-07-30,284.910000
10107,59491810,MSFT,8048,2021-08-31,301.880000
10107,59491810,MSFT,8048,2021-09-30,281.920000
10107,59491810,MSFT,8048,2021-10-29,331.620000
10107,59491810,MSFT,8048,2021-11-30,330.590000
10107,59491810,MSFT,8048,2021-12-31,336.320000
10107,59491810,MSFT,8048,2022-01-31,310.980000
10107,59491810,MSFT,8048,2022-02-28,298.790000
10107,59491810,MSFT,8048,2022-03-31,308.310000
10107,59491810,MSFT,8048,2022-04-29,277.520000
10107,59491810,MSFT,8048,2022-05-31,271.870000
10107,59491810,MSFT,8048,2022-06-30,256.830000
10107,59491810,MSFT,8048,2022-07-29,280.740000
10107,59491810,MSFT,8048,2022-08-31,261.470000
10107,59491810,MSFT,8048,2022-09-30,232.900000
10107,59491810,MSFT,8048,2022-10-31,232.130000
10107,59491810,MSFT,8048,2022-11-30,255.140000
10107,59491810,MSFT,8048,2022-12-30,239.820000
10107,59491810,MSFT,8048,2023-01-31,247.810000
10107,59491810,MSFT,8048,2023-02-28,249.420000
10107,59491810,MSFT,8048,2023-03-31,288.300000
10107,59491810,MSFT,8048,2023-04-28,307.260000
10107,59491810,MSFT,8048,2023-05-31,328.390000
10107,59491810,MSFT,8048,2023-06-30,340.540000
10107,59491810,MSFT,8048,2023-07-31,335.920000
10107,59491810,MSFT,8048,2023-08-31,327.760000
10107,59491810,MSFT,8048,2023-09-29,315.750000
10107,59491810,MSFT,8048,2023-10-31,338.110000
10107,59491810,MSFT,8048,2023-11-30,378.910000
10107,59491810,MSFT,8048,2023-12-29,376.040000
10107,59491810,MSFT,8048,2024-01-31,397.580000
10107,59491810,MSFT,8048,2024-02-29,413.640000
10107,59491810,MSFT,8048,2024-03-28,420.720000
10107,59491810,MSFT,8048,2024-04-30,389.330000
10107,59491810,MSFT,8048,2024-05-31,415.130000
10107,59491810,MSFT,8048,2024-06-28,446.950000
10107,59491810,MSFT,8048,2024-07-31,418.350000
10107,59491810,MSFT,8048,2024-08-30,417.140000
10107,59491810,MSFT,8048,2024-09-30,430.300000
10107,59491810,MSFT,8048,2024-10-31,406.350000
10107,59491810,MSFT,8048,2024-11-29,423.460000
10107,59491810,MSFT,8048,2024-12-31,421.500000
10107,59491810,MSFT,8048,2025-01-31,415.060000
10107,59491810,MSFT,8048,2025-02-28,396.990000
10107,59491810,MSFT,8048,2025-03-31,375.390000
10107,59491810,MSFT,8048,2025-04-30,395.260000
10107,59491810,MSFT,8048,2025-05-30,460.360000
10107,59491810,MSFT,8048,2025-06-30,497.410000
10107,59491810,MSFT,8048,2025-07-31,533.500000
10107,59491810,MSFT,8048,2025-08-29,506.690000
10107,59491810,MSFT,8048,2025-09-30,517.950000
10107,59491810,MSFT,8048,2025-10-31,517.810000
10107,59491810,MSFT,8048,2025-11-28,492.010000
