PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-01-31,40.670000,2020-01-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-02-28,37.430000,2020-02-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-03-31,29.090000,2020-03-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-04-30,30.680000,2020-04-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-05-29,32.450000,2020-05-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-06-30,30.420000,2020-06-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-07-31,32.000000,2020-07-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-08-31,32.020000,2020-08-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-09-30,29.200000,2020-09-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-10-30,27.560000,2020-10-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-11-30,31.210000,2020-11-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2020-12-31,31.990000,2020-12-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-01-29,33.600000,2021-01-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-02-26,33.810000,2021-02-26
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-03-31,36.400000,2021-03-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-04-30,38.570000,2021-04-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-05-28,38.480000,2021-05-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-06-30,40.040000,2021-06-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-07-30,39.350000,2021-07-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-08-31,39.310000,2021-08-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-09-30,39.800000,2021-09-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-10-29,41.860000,2021-10-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-11-30,37.540000,2021-11-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2021-12-31,39.080000,2021-12-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-01-31,42.270000,2022-01-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-02-28,43.180000,2022-02-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-03-31,46.090000,2022-03-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-04-29,43.640000,2022-04-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-05-31,46.150000,2022-05-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-06-30,42.260000,2022-06-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-07-29,44.930000,2022-07-29
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-08-31,41.220000,2022-08-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-09-30,37.100000,2022-09-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-10-31,38.950000,2022-10-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-11-30,41.290000,2022-11-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2022-12-30,39.100000,2022-12-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-01-31,40.970000,2023-01-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-02-28,37.520000,2023-02-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-03-31,38.150000,2023-03-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-04-28,39.760000,2023-04-28
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-05-31,35.200000,2023-05-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-06-30,37.150000,2023-06-30
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-07-31,36.800000,2023-07-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-08-31,35.080000,2023-08-31
76932,29250N10,ENBRIDGE INC; COM NONE; CONS,ENB,2381,ENBRIDGE INC,2023-09-29,33.190000,2023-09-29
