PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,IssuerNm,MthCalDt,MthPrc,MthPrcDt
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-01-31,465.660000,2020-01-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-02-28,463.310000,2020-02-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-03-31,416.930000,2020-03-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-04-30,632.290000,2020-04-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-05-29,757.800000,2020-05-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-06-30,949.200000,2020-06-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-07-31,1024.000000,2020-07-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-08-31,1066.420000,2020-08-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-09-30,1022.970000,2020-09-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-10-30,925.430000,2020-10-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-11-30,1090.380000,2020-11-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2020-12-31,1131.950000,2020-12-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-01-29,1098.590000,2021-01-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-02-26,1280.970000,2021-02-26
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-03-31,1106.500000,2021-03-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-04-30,1182.510000,2021-04-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-05-28,1242.870000,2021-05-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-06-30,1460.980000,2021-06-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-07-30,1499.930000,2021-07-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-08-31,1524.780000,2021-08-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-09-30,1355.780000,2021-09-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-10-29,1466.730000,2021-10-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-11-30,1521.790000,2021-11-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2021-12-31,1377.390000,2021-12-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-01-31,964.240000,2022-01-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-02-28,694.260000,2022-02-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-03-31,675.960000,2022-03-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-04-29,426.820000,2022-04-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-05-31,375.120000,2022-05-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-06-30,31.240000,2022-06-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-07-29,34.830000,2022-07-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-08-31,31.650000,2022-08-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-09-30,26.940000,2022-09-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-10-31,34.230000,2022-10-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-11-30,40.880000,2022-11-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2022-12-30,34.710000,2022-12-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-01-31,49.270000,2023-01-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-02-28,41.140000,2023-02-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-03-31,47.940000,2023-03-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-04-28,48.450000,2023-04-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-05-31,57.190000,2023-05-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-06-30,64.600000,2023-06-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-07-31,67.580000,2023-07-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-08-31,66.490000,2023-08-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-09-29,54.570000,2023-09-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-10-31,47.190000,2023-10-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-11-30,72.820000,2023-11-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2023-12-29,77.900000,2023-12-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-01-31,80.070000,2024-01-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-02-29,76.370000,2024-02-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-03-28,77.170000,2024-03-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-04-30,70.200000,2024-04-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-05-31,59.150000,2024-05-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-06-28,66.050000,2024-06-28
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-07-31,61.200000,2024-07-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-08-30,74.070000,2024-08-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-09-30,80.140000,2024-09-30
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-10-31,78.210000,2024-10-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-11-29,115.600000,2024-11-29
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2024-12-31,106.330000,2024-12-31
15358,82509L10,SHOPIFY INC; COM A; CONS,SHOP,55259,SHOPIFY INC,2025-01-31,116.800000,2025-01-31
