PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc
13407,30303M10,META,54084,2022-06-30,161.250000
13407,30303M10,META,54084,2022-07-29,159.100000
13407,30303M10,META,54084,2022-08-31,162.930000
13407,30303M10,META,54084,2022-09-30,135.680000
13407,30303M10,META,54084,2022-10-31,93.160000
13407,30303M10,META,54084,2022-11-30,118.100000
13407,30303M10,META,54084,2022-12-30,120.340000
13407,30303M10,META,54084,2023-01-31,148.970000
13407,30303M10,META,54084,2023-02-28,174.940000
13407,30303M10,META,54084,2023-03-31,211.940000
13407,30303M10,META,54084,2023-04-28,240.320000
13407,30303M10,META,54084,2023-05-31,264.720000
13407,30303M10,META,54084,2023-06-30,286.980000
13407,30303M10,META,54084,2023-07-31,318.600000
13407,30303M10,META,54084,2023-08-31,295.890000
13407,30303M10,META,54084,2023-09-29,300.210000
13407,30303M10,META,54084,2023-10-31,301.270000
13407,30303M10,META,54084,2023-11-30,327.150000
13407,30303M10,META,54084,2023-12-29,353.960000
13407,30303M10,META,54084,2024-01-31,390.140000
13407,30303M10,META,54084,2024-02-29,490.130000
13407,30303M10,META,54084,2024-03-28,485.580000
13407,30303M10,META,54084,2024-04-30,430.170000
13407,30303M10,META,54084,2024-05-31,466.830000
13407,30303M10,META,54084,2024-06-28,504.220000
13407,30303M10,META,54084,2024-07-31,474.830000
13407,30303M10,META,54084,2024-08-30,521.310000
13407,30303M10,META,54084,2024-09-30,572.440000
13407,30303M10,META,54084,2024-10-31,567.580000
13407,30303M10,META,54084,2024-11-29,574.320000
13407,30303M10,META,54084,2024-12-31,585.510000
13407,30303M10,META,54084,2025-01-31,689.180000
13407,30303M10,META,54084,2025-02-28,668.200000
13407,30303M10,META,54084,2025-03-31,576.360000
13407,30303M10,META,54084,2025-04-30,549.000000
13407,30303M10,META,54084,2025-05-30,647.490000
13407,30303M10,META,54084,2025-06-30,738.090000
13407,30303M10,META,54084,2025-07-31,773.440000
13407,30303M10,META,54084,2025-08-29,738.700000
13407,30303M10,META,54084,2025-09-30,734.380000
13407,30303M10,META,54084,2025-10-31,648.350000
13407,30303M10,META,54084,2025-11-28,647.950000
13407,30303M10,META,54084,2025-12-31,660.090000
15358,82509L10,SHOP,55259,2020-01-31,465.660000
15358,82509L10,SHOP,55259,2020-02-28,463.310000
15358,82509L10,SHOP,55259,2020-03-31,416.930000
15358,82509L10,SHOP,55259,2020-04-30,632.290000
15358,82509L10,SHOP,55259,2020-05-29,757.800000
15358,82509L10,SHOP,55259,2020-06-30,949.200000
15358,82509L10,SHOP,55259,2020-07-31,1024.000000
15358,82509L10,SHOP,55259,2020-08-31,1066.420000
15358,82509L10,SHOP,55259,2020-09-30,1022.970000
15358,82509L10,SHOP,55259,2020-10-30,925.430000
15358,82509L10,SHOP,55259,2020-11-30,1090.380000
15358,82509L10,SHOP,55259,2020-12-31,1131.950000
15358,82509L10,SHOP,55259,2021-01-29,1098.590000
15358,82509L10,SHOP,55259,2021-02-26,1280.970000
15358,82509L10,SHOP,55259,2021-03-31,1106.500000
15358,82509L10,SHOP,55259,2021-04-30,1182.510000
15358,82509L10,SHOP,55259,2021-05-28,1242.870000
15358,82509L10,SHOP,55259,2021-06-30,1460.980000
15358,82509L10,SHOP,55259,2021-07-30,1499.930000
15358,82509L10,SHOP,55259,2021-08-31,1524.780000
15358,82509L10,SHOP,55259,2021-09-30,1355.780000
15358,82509L10,SHOP,55259,2021-10-29,1466.730000
15358,82509L10,SHOP,55259,2021-11-30,1521.790000
15358,82509L10,SHOP,55259,2021-12-31,1377.390000
15358,82509L10,SHOP,55259,2022-01-31,964.240000
15358,82509L10,SHOP,55259,2022-02-28,694.260000
15358,82509L10,SHOP,55259,2022-03-31,675.960000
15358,82509L10,SHOP,55259,2022-04-29,426.820000
15358,82509L10,SHOP,55259,2022-05-31,375.120000
15358,82509L10,SHOP,55259,2022-06-30,31.240000
15358,82509L10,SHOP,55259,2022-07-29,34.830000
15358,82509L10,SHOP,55259,2022-08-31,31.650000
15358,82509L10,SHOP,55259,2022-09-30,26.940000
15358,82509L10,SHOP,55259,2022-10-31,34.230000
15358,82509L10,SHOP,55259,2022-11-30,40.880000
15358,82509L10,SHOP,55259,2022-12-30,34.710000
